Time_s   Intensity_dB
4.593750   61.917561
4.601750   61.682720
4.609750   62.028590
4.617750   62.625423
4.625750   62.898515
4.633750   63.434974
4.641750   64.523950
4.649750   66.015581
4.657750   67.398723
4.665750   68.256383
4.673750   68.583929
4.681750   68.398372
4.689750   68.158406
4.697750   68.143615
4.705750   68.075015
4.713750   67.933757
4.721750   68.051378
4.729750   68.474162
4.737750   68.256154
4.745750   66.402399
4.753750   63.091304
4.761750   59.738817
4.769750   57.730297
4.777750   56.371701
4.785750   53.828570
4.793750   50.330864
4.801750   48.603779
4.809750   49.418856
4.817750   50.176295
4.825750   50.096879
4.833750   50.145414
4.841750   51.496345
4.849750   53.638551
4.857750   55.432475
4.865750   56.759722
4.873750   57.802439
4.881750   58.648207
4.889750   59.774267
4.897750   61.263617
4.905750   62.874307
4.913750   64.488219
4.921750   66.092398
4.929750   67.635265
4.937750   68.626074
4.945750   68.228970
4.953750   66.414769
4.961750   64.696542
4.969750   63.997335
4.977750   63.782235
4.985750   64.315893
4.993750   65.403134
5.001750   66.309810
5.009750   66.474553
5.017750   65.662296
5.025750   63.650537
5.033750   60.533106
5.041750   56.867198
5.049750   52.355354
5.057750   48.169915
5.065750   46.640237
5.073750   46.161121
5.081750   44.424035
5.089750   42.322429
5.097750   41.453975
5.105750   40.249819
5.113750   39.370090
5.121750   39.437913
5.129750   39.340971
5.137750   38.264648
5.145750   35.895754
5.153750   34.733923
5.161750   35.658629
5.169750   34.411808
5.177750   32.437132
5.185750   32.165546
5.193750   33.552385
5.201750   41.114157
5.209750   50.033046
5.217750   54.425857
5.225750   54.400373
5.233750   52.461058
5.241750   53.513645
5.249750   55.868132
5.257750   56.668120
5.265750   54.696291
5.273750   50.086998
5.281750   47.509042
5.289750   46.793003
5.297750   44.291611
5.305750   41.759876
5.313750   40.919551
5.321750   40.407192
5.329750   40.646324
5.337750   40.623855
5.345750   41.356682
5.353750   43.206374
5.361750   45.052410
5.369750   46.529118
5.377750   46.904437
5.385750   46.459445
5.393750   46.476255
5.401750   46.965803
5.409750   47.249451
5.417750   47.162145
5.425750   46.949459
5.433750   47.117492
5.441750   47.539976
5.449750   48.585282
5.457750   50.336023
5.465750   52.957699
5.473750   58.143999
5.481750   63.022390
5.489750   65.450753
5.497750   66.639617
5.505750   67.688000
5.513750   68.302262
5.521750   68.623248
5.529750   68.857801
5.537750   68.952425
5.545750   68.847905
5.553750   69.107979
5.561750   69.562354
5.569750   69.665009
5.577750   69.656499
5.585750   69.694550
5.593750   69.666108
5.601750   69.545217
5.609750   69.447889
5.617750   69.387354
5.625750   69.359608
5.633750   69.347847
5.641750   69.323087
5.649750   69.479984
5.657750   69.528688
5.665750   69.162178
5.673750   68.646303
5.681750   68.439533
5.689750   68.674953
5.697750   69.030118
5.705750   69.480546
5.713750   69.565758
5.721750   69.090581
5.729750   68.942683
5.737750   69.465760
5.745750   68.921468
5.753750   66.201512
5.761750   63.522757
5.769750   64.053011
5.777750   65.283717
5.785750   65.475471
5.793750   64.161145
5.801750   61.435558
5.809750   58.605704
5.817750   57.037880
5.825750   56.735939
5.833750   55.304106
5.841750   53.127088
5.849750   53.187999
5.857750   54.638390
5.865750   56.505169
5.873750   58.142646
5.881750   58.593432
5.889750   58.112436
5.897750   57.826846
5.905750   57.535002
5.913750   56.686688
5.921750   55.555688
5.929750   54.335698
5.937750   53.026423
5.945750   51.755257
5.953750   51.060600
5.961750   50.701621
5.969750   50.165608
5.977750   49.474223
5.985750   48.895652
5.993750   48.499602
6.001750   48.294539
6.009750   48.028162
6.017750   47.069486
6.025750   45.429070
6.033750   43.531988
6.041750   42.613988
6.049750   41.756650
6.057750   39.343575
6.065750   37.317262
6.073750   36.806983
6.081750   35.979084
6.089750   34.393424
6.097750   33.536902
6.105750   33.415798
6.113750   33.281733
6.121750   33.527636
6.129750   32.815156
6.137750   32.716214
6.145750   33.476406
6.153750   34.427517
6.161750   34.881983
6.169750   33.892963
6.177750   33.191582
6.185750   34.103407
6.193750   35.896322
6.201750   38.959382
6.209750   40.949619
6.217750   41.743176
6.225750   42.701031
6.233750   44.022132
6.241750   46.104904
6.249750   48.845255
6.257750   51.817442
6.265750   54.432186
6.273750   55.944431
6.281750   56.266642
6.289750   56.038055
6.297750   55.456268
6.305750   54.624046
6.313750   54.510437
6.321750   54.555548
6.329750   54.089686
6.337750   53.067619
6.345750   52.036301
6.353750   51.561381
6.361750   51.385172
6.369750   50.971724
6.377750   49.403855
6.385750   46.497033
6.393750   43.217338
6.401750   40.948166
6.409750   39.240425
6.417750   37.709019
6.425750   37.242460
6.433750   36.977250
6.441750   35.985651
6.449750   35.105622
6.457750   34.469928
6.465750   33.429796
6.473750   33.413370
6.481750   33.740899
6.489750   33.613688
6.497750   32.762607
6.505750   31.800126
6.513750   31.802184
6.521750   31.694072
6.529750   31.504836
6.537750   31.504847
6.545750   31.253926
6.553750   32.262266
6.561750   33.720755
6.569750   33.897894
6.577750   33.671601
6.585750   33.583039
6.593750   32.880093
6.601750   31.820044
6.609750   30.091265
6.617750   29.161598
6.625750   30.823997
6.633750   32.243788
6.641750   33.224852
6.649750   34.215717
6.657750   35.213576
6.665750   35.185368
6.673750   33.908989
6.681750   33.364041
6.689750   32.677515
6.697750   31.734999
6.705750   32.680632
6.713750   32.697094
6.721750   32.748565
6.729750   32.263830
6.737750   31.710195
6.745750   32.111462
6.753750   30.910899
6.761750   29.327601
6.769750   29.798291
6.777750   30.713685
6.785750   32.139433
6.793750   32.327340
6.801750   30.884305
6.809750   30.065460
6.817750   29.746672
6.825750   30.443934
6.833750   30.474041
6.841750   29.518306
6.849750   30.306041
6.857750   30.929761
6.865750   30.621267
6.873750   30.065062
6.881750   30.331207
6.889750   31.512581
6.897750   33.744390
6.905750   38.589559
6.913750   41.335709
6.921750   40.348316
6.929750   37.054362
6.937750   34.478864
6.945750   32.296130
6.953750   31.489572
6.961750   32.106876
6.969750   36.064011
6.977750   42.098002
6.985750   44.462863
6.993750   43.351583
7.001750   40.175432
7.009750   37.592158
7.017750   36.831402
7.025750   33.773542
7.033750   33.202517
7.041750   34.447956
7.049750   33.903566
7.057750   33.982788
7.065750   34.923582
7.073750   35.904224
7.081750   36.262163
7.089750   35.789286
7.097750   35.238379
7.105750   34.835525
7.113750   35.048187
7.121750   35.785443
7.129750   34.553233
7.137750   32.670527
7.145750   32.129285
7.153750   32.180014
7.161750   33.177070
7.169750   33.189607
7.177750   31.607892
7.185750   30.756463
7.193750   30.218194
7.201750   30.320275
7.209750   30.334622
7.217750   30.474497
7.225750   32.231036
7.233750   34.640184
7.241750   40.134305
7.249750   44.249079
7.257750   46.421819
7.265750   47.482719
7.273750   48.168099
7.281750   48.867422
7.289750   49.399010
7.297750   49.076098
7.305750   48.339791
7.313750   48.208019
7.321750   48.346828
7.329750   48.458897
7.337750   48.900901
7.345750   48.887587
7.353750   48.848252
